sample_idx,latency_ms
1,2.528749988414347
2,3.6747499834746122
3,3.8220839924179018
4,3.6876670201309025
5,3.6896250094287097
6,3.6241250345483422
7,6.476790993474424
8,3.779958002269268
9,4.026625014375895
10,3.8786670193076134
11,6.3603330054320395
12,6.07750000199303
13,5.285375053063035
14,5.256166041363031
15,6.868082971777767
16,6.1419999692589045
17,7.737874984741211
18,4.120666009839624
19,5.381792027037591
20,6.210624997038394
21,4.80266596423462
22,6.318250030744821
23,5.637791997287422
24,5.946375022176653
25,6.1377499951049685
26,5.124291987158358
27,5.800750048365444
28,5.410292011220008
29,6.012333033140749
30,5.77025004895404
31,5.640083982143551
32,4.8104170127771795
33,4.14995796745643
34,6.056500016711652
35,4.564290982671082
36,4.295791033655405
37,6.413082999642938
38,5.6212920462712646
39,4.935959004797041
40,5.815874959807843
41,3.546041960362345
42,6.29766599740833
43,5.817625031340867
44,6.0055829817429185
45,5.441749992314726
46,5.6606250000186265
47,6.460374977905303
48,5.4138340055942535
49,5.956167005933821
50,5.861749988980591
51,6.004334019962698
52,5.004875012673438
53,4.640833998564631
54,4.3210830190218985
55,4.721083969343454
56,5.6834580027498305
57,5.8061659801751375
58,6.50016701547429
59,5.777208018116653
60,6.214499997440726
61,5.842832964845002
62,6.445875042118132
63,6.34670804720372
64,5.865457991603762
65,5.584999977145344
66,5.61637501232326
67,5.218167032580823
68,5.086583027150482
69,5.273625021800399
70,4.480707983020693
71,5.469583033118397
72,5.149291013367474
73,4.620000021532178
74,4.5878750388510525
75,4.17541601927951
76,3.8245829637162387
77,3.9966669864952564
78,5.781124986242503
79,5.72591699892655
80,6.0276659787632525
81,6.037042010575533
82,5.2694589830935
83,5.417416978161782
84,6.216166017111391
85,5.659041984472424
86,6.110333022661507
87,5.784708017017692
88,4.344541986938566
89,5.594999995082617
90,5.673625040799379
91,4.631458024960011
92,5.810625036247075
93,6.319166044704616
94,6.273999984841794
95,3.8682909798808396
96,5.253082956187427
97,5.690791003871709
98,6.26666599418968
99,7.077666989061981
100,6.329915951937437
101,4.452458000741899
102,5.85770804900676
103,5.9167500003241
104,5.505084001924843
105,6.404582993127406
106,4.210749990306795
107,4.542500013485551
108,5.859042052179575
109,6.73958397237584
110,6.019333959557116
111,6.295875005889684
112,6.342749984469265
113,5.2777500241063535
114,5.920749972574413
115,6.592207995709032
116,6.366790970787406
117,5.674124986398965
118,5.505042034201324
119,6.811541970819235
120,5.316959053743631
121,6.035875005181879
122,7.376333000138402
123,4.313916026148945
124,6.233417021576315
125,5.365832999814302
126,5.611457978375256
127,6.031083001289517
128,4.975207964889705
129,6.41958398045972
130,6.352500000502914
131,6.504875025711954
132,5.504000000655651
133,5.71079202927649
134,5.340583040378988
135,7.619292009621859
136,6.498083006590605
137,4.760582989547402
138,3.988291951827705
139,6.693125003948808
140,4.1827919776551425
141,4.219207970891148
142,4.843084025196731
143,5.15508302487433
144,4.300750035326928
145,4.131000023335218
146,5.076166009530425
147,4.481707990635186
148,5.2915000123903155
149,5.546500033233315
150,7.108582998625934
151,7.027250016108155
152,6.7305840202607214
153,6.886874965857714
154,5.966584023553878
155,3.998458036221564
156,5.713459046091884
157,4.231041995808482
158,4.14308300241828
159,5.385666969232261
160,5.6849170359782875
161,5.6259160046465695
162,6.658917001914233
163,5.665667005814612
164,6.733666989021003
165,6.716709001921117
166,5.439708009362221
167,6.508250022307038
168,6.791000021621585
169,8.293208957184106
170,6.446334009524435
171,4.807749995961785
172,6.2028749962337315
173,5.587166000623256
174,5.71470899740234
175,4.733791982289404
176,5.675709049683064
177,5.389290978200734
178,7.099124952219427
179,5.096415989100933
180,6.028499978128821
181,6.37041701702401
182,5.562833044677973
183,5.353915970772505
184,5.4681249894201756
185,6.316791987046599
186,6.432749971281737
187,5.446249968372285
188,6.060083047486842
189,7.3122920002788305
190,5.483250017277896
191,6.741332996170968
192,4.701750003732741
193,5.770790972746909
194,6.521000002976507
195,5.6434579892084
196,5.573500005993992
197,6.029916985426098
198,6.047083006706089
199,6.101709033828229
200,5.763790977653116
201,6.088542053475976
202,4.993500013370067
203,5.370124999899417
204,5.295958020724356
205,6.299541972111911
206,6.09641702612862
207,5.120540969073772
208,5.41170802898705
209,4.309542011469603
210,4.299500025808811
211,5.861665995325893
212,4.483915981836617
213,4.202749987598509
214,4.477292008232325
215,4.3713750201277435
216,3.9897499955259264
217,4.359542042948306
218,5.590458982624114
219,5.094541993457824
220,5.736833030823618
221,4.16887499159202
222,5.915709014516324
223,5.558125034440309
224,6.049042043741792
225,5.794750002678484
226,6.539999973028898
227,4.4984580017626286
228,4.270958015695214
229,7.674874970689416
230,6.121165992226452
231,5.284457991365343
232,4.6750420005992055
233,5.9715419774875045
234,5.655666987877339
235,5.557084048632532
236,5.727708979975432
237,5.7777080219239
238,6.668125046417117
239,5.5731250322423875
240,5.691625003237277
241,5.453250021673739
242,6.5386249916628
243,4.189625033177435
244,4.352374991867691
245,4.45058400509879
246,5.909667001105845
247,6.127000029664487
248,8.346292015630752
249,6.745666963979602
250,5.716333049349487
251,6.14308298099786
252,6.21341698570177
253,8.201415999792516
254,5.657041037920862
255,5.857165961060673
256,5.227249988820404
257,5.509416980203241
258,6.595749990083277
259,5.627499951515347
260,5.1408339641056955
261,5.389500001911074
262,5.349334038328379
263,5.45954197878018
264,5.267040978651494
265,6.081041996367276
266,7.217000005766749
267,5.1893749623559415
268,5.8970419922843575
269,7.262667000759393
270,6.250959006138146
271,4.554209008347243
272,4.397542041260749
273,3.9189159870147705
274,4.4242090079933405
275,3.678209031932056
276,3.6637919838540256
277,4.035542020574212
278,4.002666042651981
279,4.097249999176711
280,6.932541029527783
281,5.425082985311747
282,4.531915998086333
283,3.7949170218780637
284,4.167042032349855
285,5.841625039465725
286,5.987000011373311
287,5.909459025133401
288,5.74837502790615
289,4.198458045721054
290,6.163124984595925
291,5.785666988231242
292,6.118250021245331
293,5.951916973572224
294,4.899499996099621
295,3.8059589569456875
296,3.6126659833826125
297,4.5472089550457895
298,4.046250018291175
299,3.7114170263521373
300,4.366541979834437
301,5.696417007129639
302,5.932583997491747
303,5.315333022736013
304,4.957958008162677
305,5.745916976593435
306,6.141124991700053
307,5.397666012868285
308,5.679708032403141
309,6.0856250347569585
310,7.820874976459891
311,6.095584016293287
312,5.322416021954268
313,4.410790977999568
314,5.772416014224291
315,4.412875045090914
316,5.3699579439125955
317,5.50162501167506
318,4.638959013391286
319,5.390917009208351
320,6.282166985329241
321,5.799542006570846
322,5.189749994315207
323,5.751832970418036
324,5.785042012576014
325,6.899375002831221
326,5.963041970971972
327,6.181042001117021
328,5.249332985840738
329,5.957999965175986
330,5.279667035210878
331,4.838208027649671
332,4.709875036496669
333,4.145667015109211
334,3.7674999912269413
335,4.0159159689210355
336,4.630041017662734
337,3.334667009767145
338,6.834833009634167
339,4.950166039634496
340,3.4557500039227307
341,3.5127500304952264
342,3.8857919862493873
343,3.5313329426571727
344,3.837791969999671
345,3.8872090517543256
346,3.514417039696127
347,3.8599169929511845
348,3.8674999959766865
349,3.9972910308279097
350,3.984500013757497
351,4.0459169540554285
352,3.796125005465001
353,3.877791983541101
354,4.3322499841451645
355,3.8100419915281236
356,4.176791000645608
357,3.7299590185284615
358,3.960832953453064
359,4.784875025507063
360,5.020458018407226
361,4.578458028845489
362,5.771125026512891
363,6.354290992021561
364,5.795459030196071
365,4.718625044915825
366,3.8353749550879
367,4.995541006792337
368,4.271792015060782
369,6.9231249508447945
370,5.7526250020600855
371,6.327458017040044
372,5.479499988723546
373,7.25716701708734
374,8.001375012099743
375,6.320500047877431
376,4.686000000219792
377,4.970917012542486
378,5.46608300646767
379,5.873584013897926
380,5.3978749783709645
381,6.052165990695357
382,4.963417013641447
383,3.982583002652973
384,3.737207967787981
385,5.596833012532443
386,5.244750005658716
387,5.762582994066179
388,5.490124982316047
389,5.82087499788031
390,5.854916002135724
391,5.257249984424561
392,4.67150000622496
393,7.95791600830853
394,5.635041976347566
395,5.898082978092134
396,4.2617080034688115
397,4.568791016936302
398,5.450833006761968
399,5.303624959196895
400,4.348999995272607
401,4.51525003882125
402,5.5517089786008
403,4.6494160196743906
404,6.326959002763033
405,6.4196669845841825
406,4.8086660099215806
407,4.0734579670242965
408,5.004125006962568
409,5.243874969892204
410,5.350916995666921
411,5.316666967701167
412,5.057249974925071
413,6.519791029859334
414,6.5828749793581665
415,6.202624994330108
416,4.094708012416959
417,5.576791998464614
418,5.012959009036422
419,3.8144999998621643
420,4.768500046338886
421,4.151957982685417
422,4.44437499390915
423,4.3847920023836195
424,4.569792014081031
425,4.501041024923325
426,4.069624992553145
427,5.441916000563651
428,4.600041022058576
429,5.295583046972752
430,6.005625007674098
431,5.20216696895659
432,5.8213750016875565
433,5.639875016640872
434,5.6234170333482325
435,5.468042043503374
436,4.36812499538064
437,5.023374978918582
438,5.535750009585172
439,5.11149998055771
440,4.311957978643477
441,5.790499970316887
442,6.176750001031905
443,5.951708997599781
444,5.498207989148796
445,5.938832997344434
446,5.805374996270984
447,5.108374985866249
448,6.266583048272878
449,5.978957982733846
450,5.49241597764194
451,5.422999965958297
452,5.537791003007442
453,4.447332990821451
454,4.294208018109202
455,5.7795419706963
456,5.029916006606072
457,5.589874985162169
458,5.951582978013903
459,7.086707977578044
460,6.542292016092688
461,6.021749984938651
462,6.279082968831062
463,5.936499976087362
464,4.733917012345046
465,5.286291998345405
466,5.716542014852166
467,5.812250019516796
468,6.210125051438808
469,6.268540979363024
470,6.158290954772383
471,4.244167008437216
472,3.991291974671185
473,6.3335419981740415
474,5.779874976724386
475,5.41787501424551
476,5.515417025890201
477,5.845374951604754
478,5.679708032403141
479,4.9556250451132655
480,6.247415964026004
481,5.514874996151775
482,5.801375024020672
483,4.702667007222772
484,4.992083006072789
485,5.388334044255316
486,3.9603339973837137
487,6.0787079855799675
488,5.888790998142213
489,4.660875012632459
490,6.234832981135696
491,4.098124976735562
492,4.076250013895333
493,4.237916960846633
494,4.131709050852805
495,4.005166993010789
496,5.16666698968038
497,5.632207961753011
498,5.1260420004837215
499,6.248541991226375
500,5.637999973259866
