Klasa / Średnia,precision,recall,f1-score,support
LOW,0.3881118881118881,0.7780373831775701,0.5178849144634525,428.0
MID,0.37832699619771865,0.47324613555291317,0.42049656629688326,841.0
HIGH,0.884313725490196,0.39183318853171156,0.543046357615894,1151.0
accuracy,0.4884297520661157,0.4884297520661157,0.4884297520661157,0.4884297520661157
macro avg,0.5502508699332677,0.5477055690873983,0.49380927945874326,2420.0
weighted avg,0.620714871881564,0.4884297520661157,0.49600773275286386,2420.0
